apps,goal,ass,min,seasons
33,17,10,2788,1
34,19,8,3015,2
33,24,10,2963,3
38,22,7,3365,4
44,18,13,3148,5
56,42,7,4378,6
54,35,21,4857,7
50,24,23,4297,8
41,34,23,3543,9
32,23,11,2471,10
